"DC_ID","ADDR_LN1_TXT","ADDR_LN2_TXT","ADDR_LN3_TXT","CITY_NM","CNTY_NM","ST_PROV_CD","PSTL_CD","CTRY_CD","PHN_NBR","LATITUDE","LONGITUDE","OPR_STRT_TM","OPR_END_TM","CRT_USER_ID","CRT_DTTM","LST_UPDT_USER_ID","LST_UPDT_DTTM"
"8293","199 Boylston St.",,,CHESTNUT HILL,,MA,"02467",US,"617 796-9815",42.32238,-71.168517,2011-10-01 08:00:00,2040-01-01 21:00:00,BRICK-524_6,2011-10-07 02:40:16,BRICK-524_6,2011-10-07 02:40:16
"8298","149 Horton Plaza",,,San Diego,,CA,"92101",US,"619 231-9798",32.7211,-117.174366,2011-10-01 11:00:00,2040-01-01 23:59:00,BRICK-524_6,2011-10-07 02:40:16,BRICK-524_6,2011-10-07 02:40:16
"8424","11410 CENTURY TERRACE",,,AUSTIN,,TX,"78759",US,"512 836-1112",30.395586,-97.750611,2011-10-01 09:00:00,2040-01-01 22:00:00,BRICK-524_6,2011-10-07 02:40:16,BRICK-524_6,2011-10-07 02:40:16
"8425","7014 E. Camelback Rd. #1420",,,Scottsdale,,AZ,"85251",US,"480 423-9553",33.420061,-111.792658,2011-10-01 11:00:00,2040-01-01 21:00:00,BRICK-524_6,2011-10-07 02:40:16,BRICK-524_6,2011-10-07 02:40:16
"8427","7401 N KENDALL DR",,,MIAMI,,FL,"33158",US,"305 661-8335",25.558428,-80.458168,2011-10-01 08:00:00,2040-01-01 21:00:00,BRICK-524_6,2011-10-07 02:40:16,BRICK-524_6,2011-10-07 02:40:16
"8432","17 WEST 34TH STREET",,,NEW YORK,,NY,"10001",US,"212 244-3060",40.750422,-73.996328,2011-10-01 08:00:00,2040-01-01 21:00:00,BRICK-524_6,2011-10-07 02:40:16,BRICK-524_6,2011-10-07 02:40:16
"8443","2500 North Mayfair Road Space #020",,,WAUWATOSA,,WI,"53226",US,"414 476-2911",43.049312,-88.041387,2011-10-01 09:00:00,2040-01-01 22:00:00,BRICK-524_6,2011-10-07 02:40:16,BRICK-524_6,2011-10-07 02:40:16
"8445","111 8th Avenue",,,NEW YORK,,NY,"10011",US,"212 645-1032",40.740916,-73.999769,2011-10-01 08:00:00,2040-01-01 21:00:00,BRICK-524_6,2011-10-07 02:40:16,BRICK-524_6,2011-10-07 02:40:16
"8469","10250 Santa Monica Blvd. #H57-67",,,LOS ANGELES,,CA,"90067",US,"310 286-2754",33.786594,-118.298662,2011-10-01 11:00:00,2040-01-01 23:59:00,BRICK-524_6,2011-10-07 02:40:16,BRICK-524_6,2011-10-07 02:40:16
"8473","333 Canal St. Space #204",,,New Orleans,,LA,"70130",US,"504 581-2478",29.939504,-90.074122,2011-10-01 09:00:00,2040-01-01 22:00:00,BRICK-524_6,2011-10-07 02:40:16,BRICK-524_6,2011-10-07 02:40:16
"8489","3961 EASTON STA",,,COLUMBUS,,OH,"43219",US,"614 478-4641",40.032615,-82.910251,2011-10-01 08:00:00,2040-01-01 21:00:00,BRICK-524_6,2011-10-07 02:40:16,BRICK-524_6,2011-10-07 02:40:16
"8499","1100 LINCOLN ROAD",,,MIAMI BEACH,,FL,"33139",US,"305 534-4706",25.787326,-80.156368,2011-10-01 08:00:00,2040-01-01 21:00:00,BRICK-524_6,2011-10-07 02:40:16,BRICK-524_6,2011-10-07 02:40:16
